num,ID,Sample,Species,origin,lat,long,pop,region
1,6042C1,1_1A,Calamagrostis stricta ssp inexpansa,Wild,69.30779,-134.53667,"Mackenzie Delta/uplands, NT; Dennis Lake DLSL2",MD
2,5PAC,1_1B,Calamagrostis canadensis,Commercial,,,5PAC,PA
3,10UTC,1_1C,Calamagrostis canadensis,Commercial,,,10UTC,UT
4,6MB1C,1_1D,Calamagrostis canadensis,Commercial,,,6MB1C,MB1
5,6022C1,1_1E,Calamagrostis stricta ssp inexpansa,Wild,68.95557,-133.83975,"Mackenzie Delta/uplands, NT; Parson's Lake AKSL3",MD
6,59COC1,1_1F,Calamagrostis canadensis,Commercial,,,59COC1,CO
7,6099C,1_1G,Calamagrostis canadensis,Wild,68.35995,-133.69868,"Inuvik, NT; COater Tower Trail near trail entrance",IK
8,1MB2C,1_1H,Calamagrostis canadensis,Commercial,,,1MB2C,MB2
9,17MB1C,1_2A,Calamagrostis canadensis,Commercial,,,17MB1C,MB1
10,6207C,1_2B,Calamagrostis purpurascens,Wild,62.85614,-115.9775,"Behchokǫ̀, NT;",BE
11,200750C1,1_2C,Calamagrostis stricta ssp inexpansa,Wild,61.03348,-113.6888,"Fort Resolution, NT; FR2",FR
12,200776C1,1_2D,Calamagrostis canadensis,Wild,61.26636,-113.58418,"Fort Resolution, NT; FR12",FR
13,5031C1,1_2E,Calamagrostis sp,Wild,68.3623,-133.75005,"Inuvik, NT; Old Airport",IK
14,48MNC,1_2F,Calamagrostis canadensis,Commercial,,,48MNC,MN
15,6055C1,1_2G,Calamagrostis canadensis,Wild,69.18349,-134.84167,"Mackenzie Delta/uplands, NT; Unknown Slump 1",MD
16,6080C1,1_2H,Calamagrostis canadensis,Wild,68.53817,-133.6562,"Mackenzie Delta/uplands, NT; Noel Lake NLSL2",MD
17,6069C1,1_3A,Calamagrostis canadensis,Wild,68.60812,-133.58481,"Mackenzie Delta/uplands, NT; Jimmy Lake JLSL1- T4",MD
18,6080C2,1_3B,Calamagrostis canadensis,Wild,68.53817,-133.6562,"Mackenzie Delta/uplands, NT; Noel Lake NLSL2",MD
19,15AKC,1_3C,Calamagrostis canadensis,Commercial,,,15AKC,AK
20,6076C,1_3D,Calamagrostis purpurascens,Wild,68.55935,-133.30504,"Mackenzie Delta/uplands, NT; Noel Lake NLSL1",MD
21,6149C1,1_3E,Calamagrostis stricta ssp inexpansa,Wild,66.24059,-128.63382,"Fort Good Hope, NT; FGH-3 near airport",FH
22,13MB1C,1_3F,Calamagrostis canadensis,Commercial,,,13MB1C,MB1
